seqnames	start	end	width	strand	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
chr5	140758408	140830431	72024	-	360.6288712408783	-0.05433990062877373	0.22700975390331354	-0.23937253661760197	0.8108167236652012	0.9903835752188638	Gna12
chr7	143473736	143499334	25599	+	23.337748634413124	0.7383021932789618	0.5386991467005371	1.3705278684790345	0.17052218211667536	0.8178507253877911	Slc22a18
chr16	96422288	96443619	21332	-	0	NA	NA	NA	NA	NA	Itgb2l
chr16	96361668	96422121	60454	+	0	NA	NA	NA	NA	NA	Igsf5
chr9	50617321	50625000	7680	+	24.711089723290282	-0.03044756981057949	0.4276511315517502	-0.07119721559042576	0.9432407974319695	0.9988521357470168	Pih1d2
chr9	50634633	50659780	25148	-	995.3634010411897	0.1362179616506636	0.1654828635102812	0.8231544871847144	0.41042014686026335	0.9427209906243124	Dlat
chr9	50596357	50603812	7456	-	819.0241295414082	-0.22723644486023015	0.1325843773009994	-1.7139006079452868	0.08654698139651947	0.6853051873628698	Sdhd
chr6	127072902	127081408	8507	+	1.361752530479293	-1.1645967815758758	2.1069584564839237	-0.552738369374091	0.580442575704289	NA	Fgf23
chr6	127015586	127028187	12602	+	0.4612852414683699	2.2513697357638423	3.461579638898304	0.650387964634658	0.5154416495065597	NA	Fgf6
chr6	127125162	127152193	27032	-	30.97144909925779	-0.6938704036467183	0.5126540603296054	-1.353486604983879	0.1759002264673995	0.8204531438561903	Ccnd2
chr2	31152316	31218775	66460	+	1106.9732406984926	0.2709089062909437	0.26622260716936635	1.0176029345193665	0.30886669221398644	0.9130642855161347	Gpr107
chr14	123276634	123627144	350511	-	0	NA	NA	NA	NA	NA	Nalcn
chr11	114791217	114795945	4729	-	11.042599862574495	-0.8537643992412817	0.726794946659256	-1.174697764707427	0.24011565398082763	0.8752125973609508	Btbd17
chr11	83175186	83190216	15031	+	0	NA	NA	NA	NA	NA	Slfn4
chr7	142892752	142931128	38377	-	2.2110028330210656	-0.3903978631259802	1.5190000628147668	-0.2570097741816795	0.7971712277539336	NA	Th
chr7	142678656	142743381	64726	-	0	NA	NA	NA	NA	NA	Ins2
chr7	121734479	121768475	33997	+	0.2993951514245177	-0.7565175459952425	3.5148887345742534	-0.21523228845162204	0.8295862182466851	NA	Scnn1g
chrX	134404551	134456573	52023	+	5.477540174282297	1.8806989897667403	1.0329136168158088	1.8207708361560986	0.06864169923115801	0.6445832202807092	Drp2
chr7	143005046	143019644	14599	+	1.3644468501645006	0.5871492575777925	1.4700603280463747	0.3994048722871666	0.6895949044633443	NA	Tspan32
chr2	38339281	38369733	30453	+	14.083499494273383	-0.26472191700611536	0.49024793730249994	-0.539975585542898	0.5892138696309916	0.9788085802077795	Lhx2
chr6	128934381	128984707	50327	+	0.12628024915190156	0.5656600217414357	3.533811540930396	0.16007079471830193	0.8728253069336133	NA	Clec2g
chr13	45507444	45553800	46357	+	139.38008219290592	0.03469096621981347	0.2890258895290471	0.1200271929837864	0.9044616067884262	0.9986629336214587	Gmpr
chr11	55514238	55608198	93961	-	0	NA	NA	NA	NA	NA	Glra1
chrX	140664599	140767715	103117	+	47.773817790932114	-0.24709519951962103	0.6088937380339401	-0.40581005204203263	0.6848821722366041	0.9850001652251119	Mid2
chr11	88999376	89020293	20918	+	2809.183363619662	0.14564368540899836	0.23996812439208964	0.6069292985389495	0.5438978334457232	0.9731813725675164	Trim25
chr11	89035179	89066850	31672	-	271.5733464092818	-0.07189263452944226	0.18821257550906778	-0.38197572258384294	0.702479372305284	0.9869244099588603	Dgke
chr11	88924020	88955465	31446	-	296.4889164864789	-0.16372110969117284	0.32585041893173877	-0.5024425324598714	0.6153562669605592	0.9813979178571582	Scpep1
chr11	74830920	74845725	14806	+	571.1676478940486	0.012069359135888563	0.3010141529844067	0.0400956533645572	0.9680168671294329	0.9988521357470168	Mnt
chr10	77530252	77565708	35457	+	1.8095935959250422	-0.8869859658546463	1.4511094291699564	-0.6112467798944754	0.5410362181568269	NA	Itgb2
chr10	31313383	31328204	14822	+	56.36401540418013	-0.47562899711166434	0.24582897063396456	-1.9347963581553143	0.05301529018685706	0.5948130618502085	Hddc2
chr10	31332376	31445958	113583	-	14.709488402295491	0.04887383996337063	0.5245255545335474	0.09317723329387333	0.9257627608904541	0.9988521357470168	Tpd52l1
chr11	59970614	60046489	75876	-	24.565484986671414	0.20491227605214046	0.5076453035955683	0.40365246088318063	0.6864683023924798	0.9850001652251119	Pemt
chr8	106603351	106670246	66896	+	19407.869182192608	-0.07970293465509017	0.17101154506896396	-0.466067566508146	0.6411671379281974	0.984999570847098	Cdh1
chr2	179442431	179899373	456943	+	95.17582703384468	-0.31523052098793236	0.46570859439596773	-0.6768836237535876	0.49847979520787683	0.966081061730855	Cdh4
chr2	121357714	121363737	6024	+	349.98397483390534	0.03107917123673342	0.21705407978300248	0.14318630300708696	0.886143046971843	0.9965887452392028	Ckmt1
chr11	70224128	70229798	5671	-	37.62168619116612	-0.47637769676619324	0.3498497617963905	-1.3616636304684435	0.17330406408570606	0.8200018509499198	Bcl6b
chr11	70156197	70170834	14638	+	0	NA	NA	NA	NA	NA	Clec10a
chr11	70241457	70255353	13897	-	11.080566568228122	0.7290171872739268	0.6003964343043121	1.214226377141379	0.22466129063195261	0.8616370041872756	Alox12
chr16	18348182	18407076	58895	+	228.85908908024618	-0.3562372418132971	0.3198275010926461	-1.1138418072125198	0.2653470579494702	0.8880084727379888	Arvcf
chr16	18406886	18426852	19967	-	188.18626247944246	-0.18961369985395835	0.18968041361960522	-0.9996482833183785	0.3174807480763658	0.9165881500900636	Comt
chr3	116488963	116508208	19246	-	229.65861886513196	-0.14967057780556875	0.27212668332658496	-0.5500033145442997	0.5823171001735654	0.9788085802077795	Rtca
chr3	116513070	116549981	36912	+	515.3621948348191	-0.040205183495014195	0.18625654224075336	-0.21585917472388902	0.8290975206967768	0.9934702313253594	Dbt
chr15	100615349	100620761	5413	+	468.50632808676096	-0.01880341253439122	0.2551107001756721	-0.07370687517788543	0.9412436280715076	0.9988521357470168	Dazap2
chrX	38600578	38613426	12849	+	233.28084679941185	-0.2884630405018313	0.2354075223054301	-1.2253773272697894	0.22043308541901607	0.8559464878390584	Mcts1
chr2	152626951	152635198	8248	+	0.40163787871668044	-1.6632707526043002	3.5026790266350947	-0.4748567424980839	0.6348890856543402	NA	Rem1
chr14	56402581	56525032	122452	+	121.5808942367448	0.7186637732964043	0.42258555424977445	1.7006349745491516	0.0890115524247345	0.6924455907901365	Rnf17
chr10	78186725	78244641	57917	-	919.988066996272	-0.2098856186411175	0.2653486156194964	-0.7909806431479125	0.4289552871894437	0.9487486290735668	Trappc10
chr11	6546887	6596744	49858	+	384.44538672706676	0.10546845954411393	0.16992903269326443	0.6206618014150236	0.5348221675247962	0.9731813725675164	Ccm2
chr11	6635482	6638637	3156	-	0	NA	NA	NA	NA	NA	Wap
chr11	6615598	6626067	10470	-	738.7854149877844	0.004921837829190892	0.1796083496465628	0.02740316827628666	0.9781381712799111	0.9988521357470168	Tbrg4
chr16	97564682	97611195	46514	-	1101.3543859985627	0.913269706846612	0.20204807328686664	4.5200614486927435	6.182168456325682e-6	0.002762631600821925	Tmprss2
chr16	97447035	97462907	15873	-	8.932048828871274	1.3506763837820428	0.8983596878230795	1.5034917551287557	0.13271228146713132	0.7696105358272031	Mx1
chr2	62500943	62574075	73133	-	17.663178143353857	1.153846376387048	0.6039941953393924	1.9103600420177653	0.056086871928073816	0.6037027135183713	Fap
chr2	62474530	62483650	9121	-	0	NA	NA	NA	NA	NA	Gcg
chr6	126821721	126849136	27416	-	1003.1533196822361	-0.08722217919770063	0.15313062453241846	-0.5695933093986388	0.5689535674006897	0.9774193749434972	Ndufa9
chrX	166523007	166585720	62714	-	0.4495412148651594	-1.4356685080891578	3.10999544291863	-0.4616304217931038	0.6443463746589504	NA	Egfl6
chr4	129548344	129573641	25298	-	105.73664450501289	0.12453590783599748	0.4019971303924869	0.30979302691640553	0.7567183546464648	0.99019409495233	Lck
chr4	129489014	129491022	2009	-	0.7083870992508495	-2.076322446289667	2.2704453981506463	-0.9145000571169432	0.36045414787629726	NA	Tssk3
chr6	18366478	18514843	148366	-	29.730371167431944	1.4472345326244491	0.5246047493390249	2.758714126107113	0.005802927414996951	0.23368591127893246	Cttnbp2
chr18	24205344	24286818	81475	+	1390.5152240665898	-0.026051180439377982	0.22838018846346178	-0.11406935345245971	0.9091828160209157	0.9986629336214587	Galnt1
chr10	107482908	107486134	3227	-	0	NA	NA	NA	NA	NA	Myf5
chr6	115601902	115622624	20723	+	499.1902888813655	-0.6627587207486694	0.3688947086104206	-1.7966067424637155	0.0723980732544831	0.6533749242959963	Mkrn2
chr6	115360951	115490399	129449	+	142.50095574195615	0.08606777339805058	0.26786565011856245	0.3213094824213382	0.7479758711665518	0.99019409495233	Pparg
chr6	115618067	115676635	58569	-	887.4352488580165	0.12749069089410778	0.159367346049498	0.7999800087937109	0.42372237982659583	0.9470473627186048	Raf1
chr7	127214447	127233130	18684	-	21.904759458234242	-0.3864721636856103	0.4618868882123615	-0.8367246907167502	0.40274733716301564	0.941479781566587	Sept1
chr15	79995874	80014977	19104	-	990.4084593262796	0.516975982890038	0.2827161232280567	1.8286045273513192	0.06745887398678836	0.6398714672202332	Pdgfb
chr15	101128522	101145336	16815	+	80.28962594727733	-0.07892193371703812	0.42196066780118446	-0.1870362328515032	0.8516322244858788	0.9934702313253594	Acvrl1
chr15	101224188	101232756	8569	+	63.67941578424475	-0.11354055595482603	0.2883635451115402	-0.39374101851504173	0.6937722541926988	0.9857258499827136	Grasp
chr15	101174067	101213684	39618	+	832.4578420888944	0.36681467282051305	0.25171788910298154	1.4572451490344562	0.14504872179439302	0.7862868605433531	Acvr1b
chr11	60226714	60352905	126192	-	185.31377761638893	0.03554854908460819	0.3482315283196983	0.10208308608970179	0.9186907262175155	0.9988521357470168	Tom1l2
chr1	166130238	166166510	36273	+	3.5177004255655855	-0.33174661560010066	1.3021416438761364	-0.2547699915445277	0.7989007538881177	NA	Gpa33
chr15	103313895	103340093	26199	-	141.39974228575207	-0.4729968083095583	0.3172526164178647	-1.4909153899192984	0.13598371028371145	0.7727379379231843	Zfp385a
chr15	103344286	103366763	22478	-	645.272694294943	0.18424328455828362	0.2797352730886045	0.6586344386391545	0.5101305425138181	0.9685569055679628	Itga5
chr5	70957597	71095849	138253	-	0.23950739387715436	1.2464293470179764	3.5269984810485036	0.3533966214375683	0.7237911183391228	NA	Gabra2
chr3	105959369	105970037	10669	+	1425.830754685568	-0.20431369034151592	0.2612878114863678	-0.7819487988331809	0.43424466467679185	0.9506735904167559	Wdr77
chr3	105870858	105908926	38069	+	0	NA	NA	NA	NA	NA	Adora3
chr3	105942698	105960099	17402	-	2417.8545769725247	0.0248771856584748	0.12965655522335848	0.1918698643166868	0.8478441436264724	0.9934702313253594	Atp5f1
chr11	112782224	112787760	5537	+	79.61703842412513	0.44871360778706154	0.25615683670176875	1.7517143542394595	0.07982293740157913	0.6718026438785393	Sox9
chr5	99955935	99978938	23004	-	2586.8460038827334	0.3298479974736593	0.30944147300707975	1.0659463137512684	0.2864479113029518	0.9018034493775094	Hnrnpd
chr17	6601671	6609774	8104	+	149.35801600142312	0.2957838393420262	0.2589557071170604	1.1422178821041302	0.25336346477794025	0.8807638839570405	Dynlt1c
chr11	17257579	17269176	11598	+	295.03480249785474	-0.060898127665114245	0.20759025836012218	-0.29335734800941266	0.7692490233238993	0.99019409495233	C1d
chr11	55098115	55113029	14915	+	1150.0115037445685	0.3826762813271558	0.22117384602125748	1.7302058458140481	0.083593504281943	0.6779315612878803	Gm2a
chr5	3803184	3845564	42381	+	822.586146475889	0.19292494335026164	0.19739968713989664	0.9773315558171896	0.3284050355717889	0.9216475321841797	Krit1
chr7	7282309	7300851	18543	-	348.27907535966926	0.09375273760168612	0.1758285851089096	0.5332053234894368	0.5938914568415502	0.9788085802077795	Clcn4
chr14	51410820	51420721	9902	+	0	NA	NA	NA	NA	NA	Vmn2r88
chr11	50850685	50866208	15524	+	1.132458498125899	-2.9492679849966787	2.555282621700895	-1.1541846525898305	0.24842447330907427	NA	Grm6
chr6	82911885	82939769	27885	-	27.276760608555747	-0.05173170943128352	0.37627480387739604	-0.13748385195661303	0.8906483558107525	0.9974179087967568	Sema4f
chr6	82725025	82774454	49430	-	3683.8768652109916	0.1964273685770331	0.1866215963768432	1.0525436090493472	0.29255021372581014	0.9051887379013787	Hk2
chr11	77763246	77865980	102735	+	2029.3468869844119	0.5680440321474228	0.18354063144406146	3.094922512133496	0.0019686432122873795	0.1356012909015263	Myo18a
chr11	77930800	77979048	48249	+	1.21791457872576	0.7964238437169502	1.6249795877083164	0.49011313726108674	0.6240538423289556	NA	Sez6
chr17	83831156	83847963	16808	-	2.4467603423418853	1.1639295285180726	1.5146314159272556	0.7684572736829945	0.44221556514586435	NA	Haao
chr4	134082448	134095082	12635	-	1.2215060481790014	0.28552626458937613	1.8374955460577505	0.15538881996310555	0.8765147974896128	NA	Cd52
chr11	77515121	77538607	23487	+	3.159848723266151	-0.6313324854946852	1.0508932814046152	-0.6007579424723807	0.5480012202302185	NA	Abhd15
chr11	96292476	96301569	9094	+	0	NA	NA	NA	NA	NA	Hoxb6
chr6	83034173	83052562	18390	+	28.30516854732752	-0.04385088098339505	0.7660820406984691	-0.05724045030923106	0.9543536562777215	0.9988521357470168	Loxl3
chr12	105176344	105181145	4802	+	0	NA	NA	NA	NA	NA	Tcl1b5
chr13	23456992	23465901	8910	-	0.5644848767754478	0.37241717670631935	2.222303235553414	0.1675816201624606	0.8669124316825927	NA	Btn1a1
chr17	53566861	53672720	105860	+	269.73136660389366	0.11096534679639673	0.36970419844547675	0.3001462987517619	0.7640655649486691	0.99019409495233	Kat2b
chr10	128677175	128696264	19090	-	1304.0329465305258	0.14659193823273936	0.1734868948208898	0.8449741312396123	0.3981252825240535	0.9390158267159214	Rab5b
chr11	77718615	77725283	6669	-	0	NA	NA	NA	NA	NA	Cryba1
chr10	78041947	78063622	21676	+	195.09776143785035	-0.0030019073797055763	0.19775727327256196	-0.015179757133727021	0.9878887712697487	0.9988521357470168	Dnmt3l
chr10	78030022	78043610	13589	-	59.49484151570219	1.4943117842100413	0.36513481101741296	4.092493345255922	4.2675949553873485e-5	0.012989518917593635	Aire
chr10	78069302	78083913	14612	+	358.70444174744557	0.36537409576560437	0.19625584946141492	1.8617233410790088	0.06264209678424185	0.6222120648000118	Icosl
chr8	123062942	123097760	34819	+	387.0745750346211	0.5145903104882312	0.32252750278766235	1.5954928061654774	0.11060207741666868	0.7332307001013911	Spg7
chr8	123140192	123158315	18124	-	3.24087104969255	1.066375395238209	1.2725521300468916	0.8379816983991961	0.4020409822917213	NA	Sult5a1
chr8	123102350	123105244	2895	+	6275.345721486703	-0.3138945204380912	0.1776978179537985	-1.7664511812953376	0.0773201849429199	0.6693967460920428	Rpl13
chr8	123204264	123212763	8500	-	743.9585618085855	0.25490010512363936	0.47107502243275856	0.5411029941839549	0.5884365945726746	0.9788085802077795	Chmp1a
chr11	75298166	75348324	50159	-	1438.882858606985	-0.011066662106364011	0.1548859288042682	-0.0714504034795125	0.943039295904972	0.9988521357470168	Rpa1
chr11	75409769	75422701	12933	-	3.279217280515063	-1.8073820421126687	1.4037889619970656	-1.2875026738644828	0.1979191382300747	NA	Serpinf1
chr8	12614277	12672248	57972	-	662.4946467621082	0.19869393491351783	0.15776328127489025	1.2594434732078696	0.20787019540822688	0.8494544151706941	Tubgcp3
chr10	6758506	7038198	279693	+	0	NA	NA	NA	NA	NA	Oprm1
chr14	70438757	70443447	4691	-	476.72234623256975	0.10491273057555507	0.1864332255570882	0.5627362304227767	0.5736145094706602	0.9775790438821935	Polr3d
chr11	52252371	52283014	30644	-	755.910715764609	-0.1455110131930288	0.17519469491422512	-0.8305674624695151	0.40621802219980996	0.941479781566587	Tcf7
chrX	13280970	13294052	13083	+	6958.138627691194	-0.010679301511262111	0.1880947192539911	-0.056776189962257605	0.9547234809932637	0.9988521357470168	Ddx3x
chr8	70808449	70821424	12976	+	7.42782124471865	0.13954336341882528	0.6832974649456975	0.2042205197262293	0.8381811768276815	0.9934702313253594	Il12rb1
chr8	70882889	70892757	9869	-	71.65126609485687	0.43831514454976805	0.4273642594318839	1.0256242417942054	0.30506873626752223	0.9126978400699195	Slc5a5
chr3	89520164	89675132	154969	+	1.9761181662090346	0.4827605578046992	1.585292343896734	0.30452462579743983	0.760728234387876	NA	Kcnn3
chr11	84984442	85140161	155720	-	1137.9218938649328	0.7304069038897271	0.22680710129189166	3.2203881612583314	0.00128017131913922	0.1088311823593352	Usp32
chr11	84957786	84966044	8259	+	80.38072019002334	0.3352524763133	0.2822657709872158	1.1877192021574734	0.2349440559740581	0.8724525448739534	Car4
chr6	89643988	89675529	31542	+	26.516832351506917	-0.11816397601035816	0.4266252870587498	-0.27697368063906164	0.7818003156417941	0.99019409495233	Txnrd3
chr1	161780689	161788495	7807	-	6.740907539282777	0.049651632119108176	0.9234611523449223	0.05376688774945108	0.9571208910906114	0.9988521357470168	Fasl
chr2	181582103	181592803	10701	-	488.135779840774	0.07247825024083876	0.5170445185218512	0.14017796852008538	0.8885193785933028	0.9968728665603355	Zfp512b
chr2	181520485	181555133	34649	+	1956.0563874628597	-0.39804227394477726	0.1796897523117649	-2.2151640192266884	0.026748808557429733	0.4713885733339131	Dnajc5
chr2	181497142	181517966	20825	+	892.0183788249649	0.011733382907041302	0.13239002412890716	0.08862739458085299	0.929378036022799	0.9988521357470168	Tpd52l2
chrX	68678541	68717963	39423	+	1524.0015008949363	-0.24356658878520623	0.13362510675184588	-1.8227606675557746	0.06833964729007184	0.6444582259423862	Fmr1
chr11	24078056	24174123	96068	+	1.8722846056937634	2.6549525293244307	1.507780034064753	1.7608354463794496	0.07826625847385144	NA	Bcl11a
chr11	53602982	53618669	15688	-	0	NA	NA	NA	NA	NA	Il4
chr2	154585758	154603708	17951	-	77.94159932999221	-0.0022268234040797863	0.2952308607501277	-0.007542651193109808	0.9939818921288351	0.9990362675747386	Pxmp4
chrX	100767722	100818410	50689	+	442.8036921138728	0.4401352490374235	0.33834266791827783	1.3008564711788946	0.19330758804440537	0.8357701745079761	Dlg3
chr16	18498713	18566679	67967	+	82.7964667363701	-0.3475192436127124	0.3128163263914745	-1.110937039704919	0.2665954507586942	0.8889457036760177	Gnb1l
chr2	27165233	27183200	17968	+	0	NA	NA	NA	NA	NA	Dbh
chr10	75923222	75936496	13275	-	126.9388514477809	0.0397159287151865	0.47058613269030675	0.0843967256071347	0.9327410105868575	0.9988521357470168	Mmp11
chr10	75896769	75921617	24849	-	888.9502575748454	0.18729827236219568	0.21428887954938342	0.8740456936265436	0.38209337011486116	0.93521780449838	Smarcb1
chr10	75943057	75949657	6601	+	0	NA	NA	NA	NA	NA	Vpreb3
chr5	123973628	124005558	31931	+	779.1697660739222	0.26278702742335375	0.40896279259953655	0.6425695250977987	0.5205034627518645	0.9694685056416864	Hip1r
chr5	135369953	135376805	6853	+	124.21353270594068	-0.11528457900383315	0.273575559793238	-0.42139940823282074	0.6734634512188451	0.9850001652251119	Nsun5
chr15	75657035	75678800	21766	-	137.9762080915766	0.20271372561971812	0.28880774463414394	0.7018985099465112	0.4827424582406688	0.9616121332297443	Top1mt
chr6	52231197	52240854	9658	-	0.9380010665871364	-1.8391121172199982	2.2852056437438915	-0.8047906420390899	0.4209405026979146	NA	Hoxa10
chr6	52189671	52191753	2083	-	2.233601995685575	-0.24608060931527423	1.6496929187762384	-0.14916752476443904	0.8814214447402121	NA	Hoxa4
chr7	59974149	60005064	30916	-	154.83888491149514	-0.11727038135717785	0.2682821707746442	-0.43711582107215174	0.6620273540394442	0.9850001652251119	Gm38393
chr14	54431612	54445364	13753	+	371.2268852589997	0.08545907771855507	0.160305246487815	0.5331021884243253	0.5939628442587603	0.9788085802077795	Mmp14
chr14	54369442	54417780	48339	-	166.98845726634465	0.40510195723748493	0.2634565382022322	1.537642451395623	0.1241360617836289	0.7570457815357932	Slc7a7
chr14	54360834	54369673	8840	+	725.7499119779773	-0.1587111512426268	0.26713036946732716	-0.5941336867055051	0.552422701414025	0.9738324422885033	Oxa1l
chr11	83753696	83783754	30059	+	365.8556539778675	0.18509996317184543	0.22905427701853406	0.8081052472854194	0.41902999717432954	0.9465641935420154	Heatr6
chr11	83647844	83649355	1512	-	0	NA	NA	NA	NA	NA	Ccl3
chr11	83709015	83711348	2334	+	0	NA	NA	NA	NA	NA	Wfdc18
chr9	21029373	21030595	1223	+	9.065440602706312	0.26264853096310553	0.6890358253453878	0.3811826922518139	0.7030676909711355	0.9869244099588603	Icam4
chr3	90476126	90488379	12254	+	1623.883029511903	-0.10183225788982349	0.14378582115949762	-0.7082218334787252	0.47880750959177143	0.9616121332297443	Ilf2
chr3	90498956	90509498	10543	-	1259.3907016528774	0.06871813372974986	0.11474258498310254	0.5988895381768641	0.549246548347464	0.9731813725675164	Chtop
chr3	90488026	90491033	3008	-	503.92904281140864	0.08732020519217176	0.12370743788194419	0.705860590819953	0.48027483739281207	0.9616121332297443	Snapin
chr3	90603771	90606045	2275	+	2.5201022044140844	1.1961056794945866	1.566199688109886	0.7636993472639911	0.44504642985484383	NA	S100a4
chr3	90584659	90602702	18044	+	2.038128449298937	0.38857106259309665	1.413341084785936	0.2749308477450434	0.7833693669567566	NA	S100a3
chr3	90608523	90611780	3258	+	0.7076774547773463	-0.057951609782445505	2.117331550662425	-0.02737011582541943	0.9781645334321213	NA	S100a5
chr3	90612882	90624181	11300	+	1009.0740560304747	-0.5871118504999641	0.2851910446518378	-2.0586615937282047	0.039526667831562105	0.5400028890242898	S100a6
chr11	106318592	106353288	34697	-	0.22119610217576896	-0.15994596709312509	3.533811540930396	-0.04526160075050688	0.963898794214837	NA	Scn4a
chr11	106377656	106388075	10420	-	0.5756668739678983	-2.3094314773481703	3.4741283681561	-0.6647513369155974	0.5062095524761652	NA	Icam2
chr11	61488812	61494406	5595	-	271.7319001025452	-0.08329054003201317	0.3952278664659196	-0.21074055525686292	0.8330897266814706	0.9934702313253594	Mapk7
chr11	61517249	61579687	62439	-	630.7729284926437	0.47918810743154644	0.20776896652742433	2.306350729083962	0.021091042705564295	0.42715528450319035	Epn2
chr11	61505144	61512931	7788	+	138.65411172674288	0.022666917665824526	0.2999279201956142	0.07557455021540199	0.9397575845304468	0.9988521357470168	B9d1
chr3	129982759	130061553	78795	-	914.6875460174573	-0.027259145237098523	0.23779500194486144	-0.11463296122354674	0.9087360526383671	0.9986629336214587	Sec24b
chr11	51643063	51650842	7780	-	209.541786273616	-0.34810983619306884	0.37881075410981	-0.9189544711081735	0.35811938673785454	0.9315038959843409	N4bp3
chr11	51623671	51635896	12226	-	186.33446855042376	-0.06989742461749056	0.2331943601793036	-0.2997389154855473	0.7643763123244753	0.99019409495233	Rmnd5b
chr11	51619735	51623714	3980	+	1040.4395549846904	-0.36378721573248984	0.13074853798432243	-2.782342512893798	0.005396805073458987	0.22586689027984097	Nhp2
chr8	123242356	123254348	11993	-	57.94009214046392	0.5231466036335397	0.5584516072780144	0.9367805496763505	0.3488714523161207	0.9252579682379943	Vps9d1
chr8	123254195	123269745	15551	+	174.47911920250016	0.29927423817095394	0.3260700733576033	0.9178218506509116	0.35871214072277713	0.9315038959843409	Zfp276
chr15	99084086	99087817	3732	-	7.232298797174227	-0.3207785525497866	0.9855556313740017	-0.32547990426737927	0.7448178894462628	0.9899225004796199	C1ql4
chr5	34633642	34637212	3571	-	344.7282074544963	0.005177958194912681	0.8262599443583334	0.006266742361489931	0.9949998957506582	0.9991214363173619	Mfsd10
chr4	136469761	136554780	85020	+	4082.6163375007745	0.15344694593140965	0.15043105145672828	1.0200483506927351	0.3077055303226216	0.9126978400699195	Luzp1
chr11	78397087	78422217	25131	-	0	NA	NA	NA	NA	NA	Slc13a2
chr5	114363567	114380508	16942	-	1657.76174664879	0.011900065981480797	0.14779902436983336	0.08051518629584181	0.9358275185294964	0.9988521357470168	Kctd10
chr11	78512193	78522736	10544	+	496.8085904620399	0.14624806577991278	0.13306674634390692	1.099057952480022	0.2717427887787287	0.8911750657594097	Poldip2
chr11	78503447	78505081	1635	+	0	NA	NA	NA	NA	NA	Sebox
chr11	78536361	78541737	5377	+	197.68189755455674	0.20295414689371127	0.22175312704015873	0.9152256367368248	0.36007318861618187	0.9319245155211444	Ift20
chr10	76708792	76726168	17377	-	4.618100526324165	-0.6154689893630778	1.0623812525795941	-0.5793296783698342	0.5623667436670099	NA	Col6a1
